protein,kidneyTisue1,kidneyTisue2,kidneyTisue3,kidneyTisue4,kidneyTisue5,kidneyTisue6,kidneyTisue11,kidneyTisue12,kidneyTisue13,kidneyTisue14,kidneyTisue15,kidneyTisue16,kidneyTisue19,kidneyTisue20,kidneyTisue21,kidneyTisue22,kidneyTisue23,kidneyTisue24,kidneyTisue29,kidneyTisue30,kidneyTisue31,kidneyTisue32,kidneyTisue33,kidneyTisue34
Q9H6R3,1.120129404,0.504269076,0.678762599,0.504269076,1.19073084,0.504269076,0.89426352,0.504269076,0.865865379,0.504269076,0.995200608,0.960880911,0.746709502,0.504269076,1.085074841,0.504269076,1.167388523,0.644033685,0.801933518,0.829856613,0.928783153,0.504269076,1.032060587,0.715777566
P23919,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,1.167388523,0.731243534,0.731243534,0.731243534,1.19073084,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534
O95865,0.731243534,0.486017939,0.522520214,1.167388523,0.558242735,1.085074841,0.616996063,0.342473616,0.960880911,0.829856613,0.928783153,0.89426352,0.644033685,1.19073084,0.678762599,1.120129404,0.731243534,0.455244722,0.587783245,0.39936486,0.995200608,0.865865379,1.032060587,0.801933518
Q93099,0.995200608,0.47063133,1.167388523,0.47063133,0.678762599,0.944832032,1.085074841,0.715777566,0.944832032,0.616996063,0.829856613,0.587783245,0.865865379,1.19073084,0.801933518,0.47063133,0.89426352,0.47063133,1.120129404,0.644033685,1.032060587,0.47063133,0.746709502,0.47063133
O75146,0.731243534,0.731243534,1.19073084,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,1.167388523,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534,0.731243534
P13010,0.616996063,0.558242735,0.370919238,0.960880911,0.370919238,0.89426352,0.486017939,1.120129404,0.715777566,0.995200608,0.865865379,1.19073084,0.746709502,0.587783245,0.661398142,0.829856613,0.455244722,1.085074841,0.522520214,1.032060587,0.801933518,0.928783153,0.661398142,1.167388523
O75936,1.19073084,0.47063133,0.928783153,0.47063133,0.865865379,0.644033685,1.058567714,0.715777566,0.995200608,0.587783245,0.829856613,0.47063133,1.167388523,0.47063133,0.960880911,0.47063133,0.89426352,0.746709502,1.120129404,0.678762599,1.058567714,0.616996063,0.801933518,0.47063133
Q16790,0.602389654,0.89426352,0.602389654,1.120129404,0.602389654,0.865865379,0.602389654,0.995200608,0.602389654,1.167388523,0.602389654,0.602389654,0.602389654,0.928783153,0.602389654,1.085074841,0.602389654,0.960880911,0.602389654,1.032060587,0.602389654,1.19073084,0.602389654,0.602389654
Q14011,0.715777566,0.829856613,0.455244722,0.644033685,0.558242735,1.085074841,0.522520214,1.167388523,0.616996063,0.995200608,0.865865379,0.678762599,1.032060587,1.120129404,0.746709502,0.39936486,0.928783153,1.19073084,0.486017939,0.960880911,0.342473616,0.801933518,0.89426352,0.587783245
Q86UY8,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,1.19073084,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502
P62310,0.616996063,0.829856613,0.558242735,1.19073084,0.39936486,0.801933518,0.644033685,1.058567714,0.342473616,0.995200608,0.715777566,0.960880911,0.587783245,1.058567714,0.522520214,1.167388523,0.455244722,1.120129404,0.678762599,0.865865379,0.486017939,0.928783153,0.746709502,0.89426352
Q13885,0.587783245,0.616996063,1.167388523,0.928783153,1.120129404,0.39936486,0.678762599,0.486017939,0.865865379,0.342473616,0.715777566,0.644033685,0.522520214,0.829856613,1.19073084,1.032060587,0.89426352,0.455244722,0.960880911,0.801933518,1.085074841,0.558242735,0.995200608,0.746709502
P52815,0.928783153,0.558242735,0.89426352,1.167388523,1.085074841,0.678762599,0.746709502,0.39936486,0.455244722,0.342473616,0.801933518,0.522520214,1.013630597,0.587783245,0.865865379,0.960880911,1.013630597,0.616996063,1.19073084,0.644033685,0.715777566,0.486017939,0.829856613,1.120129404
P19827,0.39936486,1.085074841,0.616996063,0.715777566,0.587783245,0.928783153,0.342473616,1.19073084,0.486017939,0.960880911,0.801933518,0.995200608,0.746709502,1.120129404,0.455244722,0.678762599,0.558242735,0.865865379,0.829856613,1.167388523,0.644033685,0.89426352,0.522520214,1.032060587
Q6PIU2,0.587783245,1.120129404,0.587783245,1.19073084,0.587783245,0.928783153,0.587783245,0.960880911,0.587783245,0.587783245,0.587783245,0.829856613,0.587783245,1.085074841,0.587783245,1.167388523,0.587783245,0.995200608,0.587783245,0.865865379,0.587783245,0.587783245,0.89426352,1.032060587
Q5JRX3,0.558242735,0.558242735,1.167388523,1.085074841,0.558242735,0.558242735,0.746709502,0.558242735,0.960880911,0.558242735,0.89426352,1.120129404,0.801933518,0.558242735,0.995200608,1.19073084,0.558242735,0.558242735,0.865865379,0.558242735,0.829856613,0.558242735,0.928783153,1.032060587
Q9Y394,0.587783245,1.120129404,0.587783245,0.829856613,0.995200608,0.89426352,0.960880911,1.167388523,0.587783245,0.587783245,0.587783245,0.587783245,0.587783245,1.19073084,0.928783153,0.865865379,0.587783245,1.032060587,0.587783245,1.085074841,0.587783245,0.587783245,0.587783245,0.587783245
P04004,1.085074841,0.829856613,1.19073084,0.455244722,0.746709502,0.678762599,0.616996063,0.558242735,0.928783153,1.032060587,0.995200608,0.39936486,1.120129404,0.865865379,1.167388523,0.486017939,0.801933518,0.644033685,0.587783245,0.522520214,0.715777566,0.960880911,0.89426352,0.342473616
Q9Y2S7,1.167388523,0.644033685,0.644033685,0.644033685,1.19073084,0.644033685,1.120129404,0.644033685,0.960880911,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,1.032060587,0.644033685,1.085074841,0.644033685,0.995200608,0.644033685,0.644033685,0.644033685
